detector+descriptor,frmae_index,camera_ttc,lidar_ttc,diff_ttc,diff_ttc_aver
ORB+BRISK,15,8.36357,8.69652,-0.33295,
ORB+BRISK,16,10.2781,13.2765,-2.9984,
ORB+BRISK,17,9.61104,12.372,-2.76096,
ORB+BRISK,18,8.39758,25.9992,-17.60162,
ORB+BRIEF,0,,,0,
ORB+BRIEF,1,12.3201,21.3418,-9.0217,-19.05217778
ORB+BRIEF,2,12.2199,47.92,-35.7001,
ORB+BRIEF,3,14.7467,103.665,-88.9183,
ORB+BRIEF,4,16.5095,14.0679,2.4416,
ORB+BRIEF,5,15.5839,22.8925,-7.3086,
ORB+BRIEF,6,12.8867,18.3567,-5.47,
ORB+BRIEF,7,11.9813,55.1976,-43.2163,
ORB+BRIEF,8,13.1207,76.7595,-63.6388,
ORB+BRIEF,9,13.0207,70.7145,-57.6938,
ORB+BRIEF,10,11.3424,16.2625,-4.9201,
ORB+BRIEF,11,12.5881,17.4453,-4.8572,
ORB+BRIEF,12,8.84817,14.1185,-5.27033,
ORB+BRIEF,13,9.96028,13.301,-3.34072,
ORB+BRIEF,14,9.34284,9.71308,-0.37024,
ORB+BRIEF,15,8.36357,8.816,-0.45243,
ORB+BRIEF,16,10.2781,10.9804,-0.7023,
ORB+BRIEF,17,9.61104,13.442,-3.83096,
ORB+BRIEF,18,8.39758,19.0665,-10.66892,
ORB+ORB,0,,,0,
ORB+ORB,1,12.3201,19.4626,-7.1425,-1096.670829
ORB+ORB,2,12.2199,10.7511,1.4688,
ORB+ORB,3,14.7467,16.6755,-1.9288,
ORB+ORB,4,16.5095,21.791,-5.2815,
ORB+ORB,5,15.5839,51.9348,-36.3509,
ORB+ORB,6,12.8867,32.002,-19.1153,
ORB+ORB,7,11.9813,19504,-19492.0187,
ORB+ORB,8,13.1207,10.6652,2.4555,
ORB+ORB,9,13.0207,141.212,-128.1913,
ORB+ORB,10,11.3424,16.9407,-5.5983,
ORB+ORB,11,12.5881,9.15809,3.43001,
ORB+ORB,12,8.84817,26.0409,-17.19273,
ORB+ORB,13,9.96028,9.46076,0.49952,
ORB+ORB,14,9.34284,9.63066,-0.28782,
ORB+ORB,15,8.36357,12.9444,-4.58083,
ORB+ORB,16,10.2781,10.5063,-0.2282,
ORB+ORB,17,9.61104,16.6667,-7.05566,
ORB+ORB,18,8.39758,31.3538,-22.95622,
ORB+FREAK,0,,,0,
ORB+FREAK,1,12.3201,12.2074,0.1127,#NAME?
ORB+FREAK,2,12.2199,20.1206,-7.9007,
ORB+FREAK,3,14.7467,17.4865,-2.7398,
ORB+FREAK,4,16.5095,10.8706,5.6389,
ORB+FREAK,5,15.5839,#NAME?,#NAME?,
ORB+FREAK,6,12.8867,11.5626,1.3241,
ORB+FREAK,7,11.9813,#NAME?,#NAME?,
ORB+FREAK,8,13.1207,9.02151,4.09919,
ORB+FREAK,9,13.0207,13.3112,-0.2905,
ORB+FREAK,10,11.3424,-545.044,556.3864,
ORB+FREAK,11,12.5881,7.95795,4.63015,
ORB+FREAK,12,8.84817,40.8841,-32.03593,
ORB+FREAK,13,9.96028,6.57691,3.38337,
ORB+FREAK,14,9.34284,60.2671,-50.92426,
ORB+FREAK,15,8.36357,8.60003,-0.23646,
ORB+FREAK,16,10.2781,9.3402,0.9379,
ORB+FREAK,17,9.61104,11.3219,-1.71086,
ORB+FREAK,18,8.39758,16.8655,-8.46792,
ORB+SIFT,0,,,0,
ORB+SIFT,1,12.3201,12.8695,-0.5494,#NAME?
ORB+SIFT,2,12.2199,9.85685,2.36305,
ORB+SIFT,3,14.7467,12.5471,2.1996,
ORB+SIFT,4,16.5095,209.183,-192.6735,
ORB+SIFT,5,15.5839,502.13,-486.5461,
ORB+SIFT,6,12.8867,21.1449,-8.2582,
ORB+SIFT,7,11.9813,#NAME?,#NAME?,
ORB+SIFT,8,13.1207,10.4477,2.673,
ORB+SIFT,9,13.0207,20.0252,-7.0045,
ORB+SIFT,10,11.3424,11.1389,0.2035,
ORB+SIFT,11,12.5881,10.1214,2.4667,
ORB+SIFT,12,8.84817,#NAME?,#NAME?,
ORB+SIFT,13,9.96028,7.94456,2.01572,
ORB+SIFT,14,9.34284,18.6477,-9.30486,
ORB+SIFT,15,8.36357,13.6989,-5.33533,
ORB+SIFT,16,10.2781,9.56045,0.71765,
ORB+SIFT,17,9.61104,18.3228,-8.71176,
ORB+SIFT,18,8.39758,10.7852,-2.38762,
AKAZE+BRISK,0,,,0,
AKAZE+BRISK,1,12.3201,11.9055,0.4146,-0.674054444
AKAZE+BRISK,2,12.2199,15.6249,-3.405,
AKAZE+BRISK,3,14.7467,13.4644,1.2823,
AKAZE+BRISK,4,16.5095,14.4196,2.0899,
AKAZE+BRISK,5,15.5839,14.7461,0.8378,
AKAZE+BRISK,6,12.8867,14.8422,-1.9555,
